This is part of the Online Privacy and Security dataset from the
Graphic, Visualization, & Usability Center's (GVU) 10th WWW User
Survey.  Please see the file GVU_Survey_Copyright_Notice for the
conditions under which this dataset can be used and/or distributed.


Advertising Networks,Anonymous Payment Systems,Attitudes Towards Spamming,Childrens Privacy,Content Providers have Right to Resell User Information,Direct Marketing,Had Credit Card Number Stolen,Have Unlisted Phone Number,How Concerned about Security,How Concerned about Security for ECommerce,Information about Users Improves Marketing of Site,Internet Privacy Laws,Internet Shopping and Banking Make Life Easier,Mass Emailings,Ought to be able to Assume Different Aliases/Roles on the Internet,Policies Towards Spamming,Privacy of Communications,Security a Factor in Online Business,Use of Demographic Information in Other Mediums,Users Ought to Have Complete Control of Demographic Info,Value Anonymous Nature of Internet,Which is More Important,Willing to Use Credit Card on Web
Disagree Strongly,Agree Strongly,Delete,Disagree Strongly,Disagree Strongly,Disagree Strongly,No,Yes,Very,Very,Neither Agree or Disagree,Agree Strongly,No,Disagree Strongly,Agree Strongly,Impact Fee,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Agree Somewhat,Disagree Somewhat,Delete,Agree Somewhat,Agree Strongly,Agree Strongly,No,Yes,Not at all,A little,Agree Strongly,Agree Somewhat,Yes,Disagree Somewhat,Agree Strongly,Registry,Agree Strongly,A significant factor,Agree Strongly,Disagree Strongly,Neither Agree or Disagree,Convenience,Yes
Disagree Strongly,Neither Agree or Disagree,Delete,Agree Somewhat,Disagree Strongly,Agree Somewhat,No,No,A little,Somewhat,Agree Somewhat,Agree Somewhat,Yes,Disagree Somewhat,Agree Strongly,Blacklist,Agree Somewhat,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Convenience,Yes
Agree Somewhat,Agree Somewhat,Delete,Agree Strongly,Disagree Somewhat,Disagree Somewhat,No,No,A little,A little,Agree Strongly,Agree Somewhat,Yes,Disagree Somewhat,Agree Strongly,Other,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Convenience,Yes
Disagree Somewhat,Agree Strongly,Delete,Agree Somewhat,Disagree Somewhat,Neither Agree or Disagree,No,No,Very,Somewhat,Agree Somewhat,Agree Somewhat,Yes,Disagree Somewhat,Agree Somewhat,Blacklist,Agree Strongly,A deciding factor,Disagree Somewhat,Agree Somewhat,Agree Somewhat,Privacy,Yes
Agree Somewhat,No Opinion,Other,Disagree Strongly,Agree Strongly,Disagree Strongly,No,Yes,Somewhat,A little,Agree Strongly,Disagree Strongly,Yes,Disagree Strongly,Disagree Strongly,Other,Agree Strongly,A deciding factor,Agree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,No Opinion,Other,Agree Strongly,Disagree Strongly,Agree Somewhat,No,No,Very,Very,Agree Somewhat,Agree Somewhat,Yes,Disagree Somewhat,No Opinion,Registry,Agree Somewhat,A deciding factor,Neither Agree or Disagree,Agree Strongly,Agree Somewhat,Privacy,No
Disagree Strongly,Agree Strongly,Delete,Neither Agree or Disagree,Disagree Strongly,Disagree Strongly,Yes,No,A little,A little,Agree Somewhat,No Opinion,Yes,Disagree Strongly,Neither Agree or Disagree,Other,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,No
Disagree Strongly,No Opinion,Delete,Neither Agree or Disagree,Disagree Strongly,Disagree Somewhat,No,No,Somewhat,Very,Disagree Somewhat,Agree Somewhat,No,Disagree Strongly,Disagree Somewhat,Impact Fee,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,No
No Opinion,Agree Strongly,Reply,Agree Strongly,Disagree Strongly,Disagree Strongly,No,Yes,Somewhat,Very,Disagree Strongly,Agree Strongly,No,Disagree Strongly,No Opinion,Don't Know,Agree Strongly,A deciding factor,Disagree Strongly,No Opinion,Agree Strongly,Privacy,No
Disagree Strongly,Disagree Strongly,Retaliate,Agree Strongly,Disagree Strongly,Disagree Strongly,No,Yes,Very,Very,Disagree Strongly,Agree Strongly,Yes,Disagree Strongly,Agree Strongly,Government Controls,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,No
Disagree Strongly,Agree Somewhat,Other,Disagree Strongly,Disagree Somewhat,Agree Somewhat,No,No,Very,Somewhat,Agree Somewhat,Neither Agree or Disagree,Yes,Disagree Strongly,Agree Strongly,Government Controls,Agree Strongly,A significant factor,Agree Somewhat,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Somewhat,Reply,Neither Agree or Disagree,Disagree Strongly,Disagree Strongly,No,No,Very,Very,Disagree Strongly,Neither Agree or Disagree,Yes,Disagree Strongly,Agree Strongly,Blacklist,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,No Opinion,Delete,Agree Somewhat,Disagree Strongly,Disagree Strongly,No,No,Very,Very,Disagree Strongly,Agree Strongly,Yes,Disagree Strongly,Neither Agree or Disagree,Government Controls,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,No
Disagree Strongly,Agree Strongly,Reply,Agree Strongly,Disagree Strongly,Disagree Strongly,Yes,No,Somewhat,Very,Agree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Agree Strongly,Impact Fee,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Convenience,Yes
Disagree Strongly,Agree Strongly,Delete,Disagree Somewhat,Disagree Strongly,Disagree Strongly,No,Yes,Very,Very,Agree Strongly,Agree Strongly,Yes,Disagree Strongly,Agree Somewhat,Government Controls,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Somewhat,Agree Somewhat,Other,Agree Somewhat,Agree Strongly,Agree Strongly,No,No,Very,Very,Agree Strongly,Agree Strongly,Yes,Disagree Strongly,Agree Somewhat,Government Controls,Agree Strongly,A significant factor,Disagree Strongly,Neither Agree or Disagree,Agree Strongly,Privacy,Yes
Disagree Somewhat,Neither Agree or Disagree,Other,Agree Somewhat,Disagree Somewhat,Disagree Somewhat,No,Yes,Somewhat,Very,Agree Somewhat,Agree Strongly,No,Disagree Strongly,Disagree Somewhat,Blacklist,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,No
Disagree Somewhat,Agree Somewhat,Delete,Neither Agree or Disagree,Disagree Somewhat,Disagree Strongly,No,No,Very,Very,Agree Somewhat,Agree Strongly,Yes,Disagree Strongly,Neither Agree or Disagree,Government Controls,Agree Strongly,A deciding factor,Disagree Somewhat,Agree Strongly,Neither Agree or Disagree,Privacy,Yes
Disagree Strongly,Neither Agree or Disagree,Other,Agree Strongly,Disagree Strongly,Disagree Strongly,No,No,A little,A little,Disagree Strongly,Agree Strongly,No,Disagree Strongly,Agree Somewhat,Government Controls,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Somewhat,Privacy,Yes
Disagree Strongly,Agree Strongly,Reply,Agree Somewhat,Disagree Strongly,Disagree Strongly,Yes,No,Very,A little,Disagree Strongly,Agree Somewhat,Yes,Disagree Strongly,Agree Strongly,Impact Fee,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Convenience,No
Disagree Somewhat,Neither Agree or Disagree,Delete,Disagree Somewhat,Neither Agree or Disagree,Disagree Somewhat,Yes,Yes,Very,Very,Neither Agree or Disagree,Neither Agree or Disagree,Yes,Disagree Strongly,Neither Agree or Disagree,Nothing,Agree Strongly,A deciding factor,Disagree Strongly,Neither Agree or Disagree,Neither Agree or Disagree,Privacy,Yes
Disagree Strongly,Agree Somewhat,Delete,Disagree Somewhat,Disagree Strongly,Disagree Strongly,No,No,Very,Very,Disagree Strongly,Agree Somewhat,Yes,Disagree Strongly,Neither Agree or Disagree,Government Controls,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Somewhat,Privacy,Yes
Disagree Somewhat,Agree Somewhat,Delete,Agree Somewhat,Agree Somewhat,Disagree Strongly,Yes,Yes,Very,Very,Neither Agree or Disagree,Agree Strongly,Yes,Disagree Strongly,Agree Somewhat,Impact Fee,Agree Strongly,A significant factor,Agree Somewhat,Agree Strongly,Agree Strongly,Privacy,Yes
Neither Agree or Disagree,Neither Agree or Disagree,Delete,Agree Strongly,Disagree Somewhat,Agree Somewhat,Yes,No,A little,Very,Agree Somewhat,Agree Somewhat,Yes,Neither Agree or Disagree,Agree Strongly,Impact Fee,Agree Somewhat,A significant factor,Disagree Somewhat,Neither Agree or Disagree,Neither Agree or Disagree,Convenience,Yes
Disagree Somewhat,Agree Strongly,Delete,Disagree Strongly,Disagree Somewhat,Agree Somewhat,No,No,Not at all,Not at all,Agree Somewhat,Disagree Strongly,Yes,Disagree Somewhat,Agree Strongly,Impact Fee,Agree Strongly,A small factor,Disagree Somewhat,Agree Strongly,Agree Strongly,Convenience,Yes
Agree Somewhat,Neither Agree or Disagree,Delete,Disagree Somewhat,Agree Somewhat,Neither Agree or Disagree,No,No,A little,Somewhat,Agree Somewhat,Disagree Strongly,Yes,Neither Agree or Disagree,Disagree Somewhat,Nothing,Neither Agree or Disagree,A small factor,Agree Somewhat,Disagree Somewhat,Disagree Somewhat,Convenience,Yes
Neither Agree or Disagree,Agree Strongly,Delete,Agree Strongly,Disagree Strongly,Disagree Strongly,No,Yes,"Should be, but not","Should be, but not",Agree Strongly,Agree Strongly,Yes,Disagree Strongly,Agree Strongly,Government Controls,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,No
Disagree Strongly,Agree Strongly,Read,Agree Somewhat,Agree Somewhat,Agree Somewhat,No,No,A little,Very,Agree Somewhat,Agree Strongly,Yes,Disagree Somewhat,Disagree Strongly,Blacklist,Agree Strongly,A deciding factor,Disagree Somewhat,Agree Strongly,Agree Somewhat,Privacy,Yes
Disagree Somewhat,Neither Agree or Disagree,Delete,Agree Strongly,Disagree Somewhat,Disagree Strongly,No,Yes,Very,Somewhat,Neither Agree or Disagree,Agree Somewhat,Yes,Disagree Strongly,Agree Somewhat,Impact Fee,No Opinion,A significant factor,Disagree Somewhat,Agree Somewhat,Agree Strongly,Privacy,Yes
Neither Agree or Disagree,Neither Agree or Disagree,Delete,Agree Strongly,Disagree Strongly,Disagree Somewhat,No,No,Very,Very,Neither Agree or Disagree,Agree Somewhat,Yes,Disagree Strongly,Disagree Strongly,Other,Agree Strongly,A deciding factor,Disagree Somewhat,Agree Strongly,Neither Agree orDisagree,Privacy,Yes
Disagree Strongly,Agree Strongly,Delete,Agree Somewhat,Disagree Somewhat,Neither Agree or Disagree,No,No,Somewhat,Very,Agree Somewhat,Agree Somewhat,No,Disagree Strongly,Agree Strongly,Blacklist,Agree Strongly,A significant factor,Disagree Strongly,Agree Somewhat,Agree Strongly,Privacy,No
Disagree Somewhat,Agree Somewhat,Delete,Neither Agree or Disagree,Agree Somewhat,Disagree Strongly,No,No,Somewhat,A little,Neither Agree or Disagree,Agree Somewhat,Yes,Disagree Strongly,Agree Strongly,Registry,Agree Strongly,A significant factor,Agree Somewhat,Agree Strongly,Agree Somewhat,Convenience,Yes
Disagree Strongly,No Opinion,Delete,Agree Strongly,Disagree Strongly,Disagree Strongly,No,No,Somewhat,A little,Disagree Strongly,Agree Somewhat,Yes,Disagree Strongly,Disagree Somewhat,Registry,Agree Somewhat,A significant factor,Disagree Strongly,Agree Strongly,No Opinion,Convenience,Yes
Disagree Somewhat,Neither Agree or Disagree,Delete,Neither Agree or Disagree,Disagree Strongly,Disagree Somewhat,No,No,Somewhat,Somewhat,Agree Somewhat,Neither Agree or Disagree,Yes,Disagree Somewhat,Agree Strongly,Other,Agree Strongly,A small factor,Disagree Somewhat,Agree Strongly,Agree Strongly,Convenience,Yes
Disagree Somewhat,No Opinion,Read,Agree Somewhat,Neither Agree or Disagree,Disagree Somewhat,No,No,Somewhat,Very,Agree Somewhat,Neither Agree or Disagree,Yes,Agree Somewhat,Disagree Somewhat,Other,Agree Strongly,A significant factor,Agree Somewhat,Disagree Somewhat,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Strongly,Other,Agree Somewhat,Disagree Somewhat,Neither Agree or Disagree,No,No,Very,Very,Agree Somewhat,Agree Strongly,Yes,Disagree Somewhat,Agree Strongly,Impact Fee,Agree Strongly,A small factor,Agree Somewhat,Agree Somewhat,Agree Strongly,Privacy,Yes
Agree Somewhat,No Opinion,Not App,Agree Strongly,Agree Somewhat,Neither Agree or Disagree,No,No,Somewhat,Very,Agree Somewhat,Agree Somewhat,Yes,Disagree Somewhat,Agree Somewhat,Other,Agree Somewhat,A significant factor,Agree Somewhat,Agree Somewhat,Agree Somewhat,Convenience,Yes
Disagree Strongly,No Opinion,Delete,Disagree Somewhat,Disagree Strongly,Agree Somewhat,No,No,A little,A little,Agree Somewhat,Neither Agree or Disagree,Yes,Disagree Strongly,Disagree Somewhat,Impact Fee,Agree Strongly,A deciding factor,Neither Agree or Disagree,Agree Strongly,Disagree Somewhat,Privacy,Yes
Disagree Strongly,Agree Somewhat,Delete,Agree Strongly,Disagree Strongly,Disagree Strongly,No,No,A little,Not at all,Disagree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Disagree Strongly,Registry,Agree Strongly,A small factor,Disagree Strongly,Agree Strongly,Disagree Strongly,Convenience,Yes
Disagree Strongly,Agree Somewhat,Not App,Neither Agree or Disagree,Neither Agree or Disagree,Disagree Somewhat,No,No,Very,Somewhat,Neither Agree or Disagree,Agree Strongly,Yes,Disagree Strongly,Agree Somewhat,Registry,Agree Strongly,A significant factor,Disagree Somewhat,Agree Strongly,Agree Somewhat,Privacy,Yes
Disagree Strongly,Disagree Somewhat,Delete,Neither Agree or Disagree,Disagree Strongly,Disagree Strongly,No,No,A little,Not at all,Disagree Strongly,Disagree Somewhat,Yes,Disagree Strongly,Agree Strongly,Blacklist,Agree Strongly,A small factor,Disagree Strongly,Agree Strongly,Agree Strongly,Convenience,Yes
Disagree Strongly,Agree Strongly,Other,Agree Strongly,Disagree Strongly,Disagree Strongly,No,No,Very,Very,Agree Somewhat,Agree Strongly,Yes,Disagree Strongly,Disagree Somewhat,Government Controls,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,No
Disagree Strongly,Neither Agree or Disagree,Delete,Disagree Strongly,Disagree Strongly,Disagree Strongly,No,Yes,Somewhat,Very,Disagree Strongly,Neither Agree or Disagree,No,Disagree Strongly,Agree Strongly,Other,Agree Strongly,A small factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,No
Disagree Strongly,No Opinion,Other,Disagree Strongly,Disagree Strongly,Disagree Strongly,No,Yes,A little,Somewhat,Agree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Disagree Somewhat,Impact Fee,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Convenience,Yes
Disagree Strongly,Agree Strongly,Delete,Agree Strongly,Disagree Strongly,Disagree Strongly,No,Yes,Very,Somewhat,Disagree Strongly,Agree Strongly,Yes,Disagree Strongly,Agree Strongly,Blacklist,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Agree Somewhat,Disagree Strongly,Not App,Disagree Strongly,Disagree Somewhat,Neither Agree or Disagree,No,No,Somewhat,Not at all,Neither Agree or Disagree,Agree Somewhat,Yes,Disagree Somewhat,No Opinion,Other,Agree Somewhat,A deciding factor,Disagree Somewhat,Neither Agree or Disagree,Neither Agree or Disagree,Privacy,Yes
Disagree Strongly,No Opinion,Delete,Agree Somewhat,Disagree Strongly,Agree Somewhat,No,No,Somewhat,A little,Disagree Strongly,Disagree Somewhat,No,Disagree Strongly,Agree Strongly,Blacklist,Agree Somewhat,A significant factor,Disagree Somewhat,Agree Somewhat,Agree Strongly,Privacy,Yes
Disagree Somewhat,Neither Agree or Disagree,Reply,Agree Strongly,Disagree Strongly,Disagree Strongly,No,No,A little,Not at all,Disagree Somewhat,Agree Strongly,Yes,Disagree Strongly,Agree Somewhat,Registry,Agree Strongly,A deciding factor,Neither Agree or Disagree,Agree Strongly,Agree Strongly,Privacy,Yes
Neither Agree or Disagree,Agree Strongly,Read,Agree Somewhat,Disagree Strongly,Neither Agree or Disagree,No,No,Somewhat,Very,Agree Somewhat,Neither Agree or Disagree,Yes,Agree Somewhat,Neither Agree or Disagree,Nothing,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Disagree Somewhat,Privacy,Yes
Disagree Strongly,No Opinion,Delete,Disagree Strongly,Disagree Strongly,Disagree Strongly,No,No,A little,A little,Disagree Somewhat,Disagree Strongly,Yes,Disagree Strongly,Agree Somewhat,Blacklist,No Opinion,A significant factor,Disagree Strongly,Neither Agree or Disagree,Agree Strongly,Convenience,No
Disagree Strongly,Agree Somewhat,Delete,Neither Agree or Disagree,Agree Strongly,Disagree Strongly,No,No,A little,A little,Agree Strongly,Agree Strongly,Yes,Disagree Strongly,Agree Strongly,Other,Agree Strongly,A significant factor,Agree Strongly,Agree Strongly,Agree Strongly,Convenience,Yes
Disagree Strongly,Agree Strongly,Delete,Neither Agree or Disagree,Disagree Strongly,Disagree Strongly,Yes,Yes,Very,Very,Neither Agree or Disagree,Agree Somewhat,Yes,Disagree Strongly,Neither Agree or Disagree,Don't Know,Agree Somewhat,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Somewhat,Disagree Somewhat,Delete,Agree Strongly,Agree Somewhat,Agree Somewhat,No,No,Somewhat,A little,Agree Somewhat,Agree Somewhat,Yes,Disagree Somewhat,Neither Agree or Disagree,Don't Know,Agree Strongly,A significant factor,Disagree Somewhat,Agree Strongly,Agree Somewhat,Privacy,Yes
Disagree Strongly,Agree Strongly,Not App,Agree Strongly,No Opinion,Disagree Strongly,No,Yes,Very,Very,No Opinion,Disagree Strongly,No,Disagree Strongly,Agree Strongly,Other,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,No
Neither Agree or Disagree,Agree Strongly,Delete,Disagree Strongly,Agree Somewhat,Agree Somewhat,No,No,Somewhat,Somewhat,Agree Somewhat,Disagree Strongly,Yes,Neither Agree or Disagree,Agree Strongly,Nothing,Agree Strongly,A small factor,Agree Somewhat,Agree Strongly,Agree Strongly,Convenience,Yes
Disagree Strongly,Agree Strongly,Delete,Agree Strongly,Disagree Strongly,Disagree Somewhat,No,Yes,Very,Very,Agree Somewhat,Agree Strongly,Yes,Disagree Somewhat,Agree Somewhat,Blacklist,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Neither Agree or Disagree,Delete,Disagree Somewhat,Disagree Strongly,Disagree Strongly,No,No,Very,Very,Disagree Somewhat,Disagree Strongly,Yes,Disagree Strongly,Agree Strongly,Registry,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Strongly,Delete,Neither Agree or Disagree,Disagree Strongly,Disagree Somewhat,No,No,A little,Very,Agree Strongly,Agree Somewhat,Yes,Disagree Strongly,Agree Strongly,Registry,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,No
No Opinion,Agree Somewhat,Not App,Agree Strongly,No Opinion,No Opinion,No,No,Very,Very,No Opinion,Agree Strongly,Yes,Disagree Somewhat,No Opinion,Don't Know,Agree Strongly,A deciding factor,Disagree Strongly,No Opinion,Agree Strongly,Privacy,No
Disagree Strongly,Neither Agree or Disagree,Delete,Neither Agree or Disagree,Disagree Strongly,Disagree Somewhat,No,No,Somewhat,Somewhat,Agree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Agree Somewhat,Registry,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Somewhat,Other,Agree Strongly,Disagree Strongly,Disagree Strongly,Yes,No,Very,Very,Disagree Somewhat,Agree Strongly,Yes,Disagree Strongly,Agree Strongly,Government Controls,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Neither Agree or Disagree,Other,Disagree Somewhat,Disagree Strongly,Disagree Somewhat,No,Yes,Very,Somewhat,Disagree Somewhat,Agree Strongly,No,Disagree Strongly,Neither Agree or Disagree,Government Controls,Agree Strongly,A deciding factor,Disagree Somewhat,Agree Strongly,Agree Strongly,Privacy,No
Disagree Strongly,Disagree Somewhat,Delete,Agree Strongly,Disagree Strongly,Disagree Somewhat,Yes,No,Very,Very,Agree Somewhat,Agree Strongly,Yes,Disagree Somewhat,Neither Agree or Disagree,Registry,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Neither Agree orDisagree,Privacy,Yes
Disagree Strongly,Agree Strongly,Delete,Disagree Somewhat,Disagree Strongly,Neither Agree or Disagree,No,No,Very,Very,Disagree Somewhat,Disagree Strongly,No,Neither Agree or Disagree,Neither Agree or Disagree,Impact Fee,Agree Strongly,A deciding factor,Agree Somewhat,Agree Strongly,Agree Strongly,Privacy,Yes
Agree Somewhat,Agree Somewhat,Delete,Agree Somewhat,Disagree Somewhat,Agree Somewhat,Yes,No,A little,A little,Agree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Agree Somewhat,Blacklist,Agree Strongly,A significant factor,Disagree Somewhat,Agree Strongly,Agree Somewhat,Privacy,Yes
